,country,fossil_share_elec,renewables_share_elec,nuclear_share_elec,population
84,Haiti,85.04488888888889,14.955111111111112,0.0,10689444.444444444
85,Honduras,46.40266666666667,53.59733333333334,0.0,9113777.777777778
86,Hong Kong,99.80655555555556,0.19344444444444445,0.0,7202444.444444444
87,Hungary,40.2919,10.7023,49.0058,9783666.666666666
88,Iceland,0.015555555555555557,99.98444444444445,0.0,330777.77777777775
89,India,78.1647,18.6021,3.2331000000000003,1309435221.3333333
90,Indonesia,86.41511111111112,13.58488888888889,0.0,258154222.2222222
91,Iran,92.3822,6.1158,1.502,78618555.55555555
92,Iraq,94.83922222222222,5.160777777777778,0.0,35296000.0
93,Ireland,72.1935,27.8065,0.0,4693666.666666667
94,Israel,97.924,2.076,0.0,7991444.444444444
95,Italy,62.3597,37.6403,0.0,60348555.55555555
96,Jamaica,90.85177777777777,9.148222222222223,0.0,2889222.222222222
97,Japan,77.60979999999999,18.781,3.6094,127857666.66666667
98,Jordan,95.61366666666667,4.386333333333333,0.0,9096111.111111112
99,Kazakhstan,89.6234,10.3766,0.0,17547333.333333332
100,Kenya,20.162222222222223,79.83777777777777,0.0,47873222.222222224
101,Kiribati,89.66966666666667,10.330333333333334,0.0,111111.11111111111
103,Kuwait,99.93866666666666,0.06133333333333334,0.0,3769666.6666666665
104,Kyrgyzstan,8.576,91.424,0.0,5962111.111111111
105,Laos,17.049777777777777,82.95022222222222,0.0,6749333.333333333
106,Latvia,43.2924,56.7076,0.0,1998555.5555555555
107,Lebanon,96.52544444444445,3.474555555555556,0.0,6299444.444444444
108,Lesotho,0.0,100.0,0.0,2061111.111111111
109,Liberia,99.68144444444445,0.31855555555555554,0.0,4475333.333333333
110,Libya,99.97566666666665,0.024333333333333332,0.0,6462444.444444444
111,Lithuania,46.7314,53.268600000000006,0.0,2926333.3333333335
112,Luxembourg,56.6742,43.3258,0.0,567333.3333333334
114,Madagascar,55.30322222222222,44.69677777777778,0.0,24285777.777777776
115,Malawi,8.765444444444446,91.23455555555556,0.0,16764333.333333334
116,Malaysia,87.36988888888888,12.63011111111111,0.0,30288222.222222224
117,Maldives,99.54444444444444,0.4555555555555555,0.0,455777.77777777775
118,Mali,47.44844444444445,52.55155555555555,0.0,17503333.333333332
119,Malta,92.9048,7.0952,0.0,431444.44444444444
120,Martinique,97.20222222222222,2.7977777777777777,0.0,381000.0
121,Mauritania,70.80711111111111,29.192888888888888,0.0,4052888.888888889
122,Mauritius,78.19788888888888,21.80211111111111,0.0,1259777.7777777778
123,Mexico,79.8644,16.5899,3.5458,121765111.1111111
124,Moldova,93.91355555555555,6.086444444444444,0.0,4066111.111111111
125,Mongolia,95.1462,4.8538,0.0,2997777.777777778
126,Montenegro,44.25055555555556,55.74944444444444,0.0,626888.8888888889
127,Montserrat,100.0,0.0,0.0,5000.0
128,Morocco,84.65977777777778,15.340222222222224,0.0,34644888.88888889
129,Mozambique,9.87388888888889,90.12611111111111,0.0,27142333.333333332
131,Namibia,2.4036666666666666,97.59633333333333,0.0,2319777.777777778
132,Nauru,100.0,0.0,0.0,10333.333333333334
133,Nepal,0.0948888888888889,99.90511111111111,0.0,27385444.444444444
134,Netherlands,81.9447,14.669599999999999,3.3857,16929333.333333332
136,New Caledonia,84.97566666666665,15.024333333333333,0.0,270555.55555555556
137,New Zealand,20.002000000000002,79.998,0.0,4608444.444444444
138,Nicaragua,47.19566666666666,52.80433333333333,0.0,6223888.888888889
139,Niger,98.53699999999999,1.463,0.0,20089000.0
140,Nigeria,79.5889,20.411099999999998,0.0,181445996.44444445
141,Niue,100.0,0.0,0.0,2000.0
142,North Korea,23.00711111111111,76.99288888888888,0.0,25177777.777777776
145,Norway,1.889,98.111,0.0,5183000.0
146,Oman,99.99255555555555,0.0074444444444444445,0.0,4195222.222222222
147,Pakistan,61.846900000000005,32.795,5.3584000000000005,199660332.44444445
148,Palestine,99.96222222222222,0.03777777777777778,0.0,4545666.666666667
149,Panama,33.107,66.893,0.0,3972000.0
150,Papua New Guinea,72.76366666666667,27.236333333333334,0.0,8115333.333333333
151,Paraguay,0.003888888888888889,99.99611111111112,0.0,6689000.0
152,Peru,42.2506,57.7494,0.0,30663888.888888888
153,Philippines,74.151,25.849,0.0,101987333.33333333
154,Poland,87.2083,12.7917,0.0,38061000.0
155,Portugal,48.7857,51.2143,0.0,10383444.444444444
156,Puerto Rico,95.74277777777779,4.257222222222222,0.0,3317444.4444444445
157,Qatar,99.67888888888889,0.3211111111111111,0.0,2509666.6666666665
158,Romania,44.0267,37.3332,18.6402,19886555.555555556
159,Russia,64.4186,18.0368,17.5446,144898110.2222222
160,Rwanda,51.29911111111111,48.70088888888889,0.0,11409666.666666666
161,Saint Helena,100.0,0.0,0.0,5777.777777777777
162,Saint Kitts and Nevis,96.2431111111111,3.7568888888888887,0.0,51111.11111111111
163,Saint Lucia,99.68933333333332,0.31066666666666665,0.0,179333.33333333334
164,Saint Pierre and Miquelon,98.50744444444445,1.4925555555555556,0.0,6000.0
165,Saint Vincent and the Grenadines,84.62644444444445,15.373555555555555,0.0,109222.22222222222
166,Samoa,69.15344444444445,30.846555555555558,0.0,192888.88888888888
167,Sao Tome and Principe,91.07566666666668,8.924333333333333,0.0,199555.55555555556
168,Saudi Arabia,99.97277777777778,0.02722222222222222,0.0,31514000.0
169,Senegal,88.92477777777778,11.075222222222223,0.0,14614888.888888888
170,Serbia,71.2041,28.7959,0.0,8873000.0
171,Seychelles,98.97966666666667,1.0203333333333333,0.0,94888.88888888889
172,Sierra Leone,31.325999999999997,68.674,0.0,7178777.777777778
173,Singapore,96.8428,3.1572,0.0,5569888.888888889
174,Slovakia,21.8467,22.743000000000002,55.410199999999996,5434555.555555556
175,Slovenia,32.3678,30.9135,36.718599999999995,2068555.5555555555
176,Solomon Islands,94.55577777777778,5.444222222222222,0.0,604111.1111111111
177,Somalia,97.37977777777778,2.6202222222222225,0.0,13844666.666666666
178,South Africa,91.3964,3.0701,5.5334,55335888.88888889
179,South Korea,69.0626,3.2709,27.6663,50677777.777777776
180,South Sudan,99.513625,0.486375,0.0,10594777.777777778
181,Spain,42.6884,36.3737,20.938,46804333.333333336
182,Sri Lanka,57.666777777777774,42.333222222222226,0.0,20888111.111111112
183,Sudan,31.481333333333332,68.51866666666666,0.0,38974777.777777776
184,Suriname,55.224222222222224,44.77577777777778,0.0,558666.6666666666
185,Sweden,2.3696,58.5124,39.1182,9759333.333333334
186,Switzerland,1.1187,62.507600000000004,36.3737,8275555.555555556
187,Syria,92.81099999999999,7.188999999999999,0.0,18487111.111111112
188,Taiwan,81.49170000000001,4.8332,13.6751,23542222.222222224
189,Tajikistan,3.1754,96.8246,0.0,8478444.444444444
190,Tanzania,64.15833333333333,35.84166666666667,0.0,51631222.222222224
191,Thailand,87.4165,12.583499999999999,0.0,68654222.22222222
193,Togo,60.49455555555556,39.50544444444445,0.0,7329444.444444444
194,Tonga,100.0,0.0,0.0,102333.33333333333
195,Trinidad and Tobago,99.94877777777778,0.05122222222222222,0.0,1368222.2222222222
196,Tunisia,97.0688,2.9312,0.0,11198000.0
197,Turkey,67.535,32.464999999999996,0.0,78499000.0
198,Turkmenistan,99.9858888888889,0.01411111111111111,0.0,5561333.333333333
199,Turks and Caicos Islands,100.0,0.0,0.0,35888.88888888889
200,Uganda,10.60288888888889,89.3971111111111,0.0,38520333.333333336
201,Ukraine,42.817099999999996,6.9941,50.188900000000004,44870777.777777776
202,United Arab Emirates,99.35711111111111,0.642888888888889,0.0,9334888.888888888
203,United Kingdom,55.9153,24.537399999999998,19.5474,65834555.55555555
204,United States,65.32570000000001,15.2497,19.4246,320649109.3333333
205,United States Virgin Islands,98.98933333333333,1.0106666666666666,0.0,105222.22222222222
206,Uruguay,10.334900000000001,89.6651,0.0,3413444.4444444445
207,Uzbekistan,88.25055555555555,11.749444444444444,0.0,30952777.777777776
208,Vanuatu,85.23422222222221,14.765777777777778,0.0,271222.22222222225
209,Venezuela,36.37155555555555,63.62844444444444,0.0,29423444.444444444
210,Vietnam,60.7851,39.2149,0.0,92674000.0
212,Yemen,95.22644444444444,4.773555555555556,0.0,26490333.333333332
213,Zambia,6.320333333333333,93.67966666666666,0.0,15902666.666666666
214,Zimbabwe,44.056999999999995,55.943000000000005,0.0,13790222.222222222
